id,name,price,category,sku,multi pack,image,url,product,rsp,brand,size,product_code,Retail Ean,vat_rate,description,description_bullets,ingredients_description,other_info,cleaned_name,original_name,multipack,is_multipack,slug
826719-1,CocaCola Original Taste 6 x 1.75L PM 2.79,8.99,Grocery > Soft Drinks > 1 and 1.5 Ltr Bottles,826719.0,1.75Ltr × 6 × 1,https://www.bestwaywholesale.co.uk/img/products/250/7/5017726449377.jpg,https://www.bestwaywholesale.co.uk/product/826719-1,Sparkling Soft Drink with Plant Extracts,£2.79,Coca-Cola,1.75Ltr,826719.0,5000112684278.0,Standard,"First created in 1886, Coca-Cola Original Taste is the legendary flavoured sparkling soft drink. Everything about Coca-Cola is unique; from its iconic flavour to the famous bottle. This all-time classic with a crisp and unique flavour. But it's not only about the great taste. Coca-Cola is so much more.","['A truly unique & great taste', ""The world's favourite soft drink"", 'Coca-Cola Original Taste, made for sharing', 'Sparkling soft drink', 'Happiness, bottled', 'Flavoured drink', 'Carbonated beverage', 'Great taste', 'Can of coke', 'Delicious and refreshing', 'GMO free', 'Added Colours', 'No Natural Flavourings', 'No Added Preservatives', 'No Quinine', 'No Intense Sweetners', 'Suitable for vegetarians', 'Suitable for vegans']","Carbonated Water, Sugar, Colour (Caramel E150d), Acid (Phosphoric Acid), Natural Flavourings, Caffeine Flavouring","['Free From Celery', 'Free From Cereals Containing Gluten', 'Free From Crustaceans', 'Free From Eggs', 'Free From Fish', 'Free From Lupin', 'Free From Milk', 'Free From Molluscs', 'Free From Mustard', 'Free From Nuts', 'Free From Peanuts', 'Free From Rye', 'Free From Sulphur Dioxide/Sulphites', 'Free From Wheat', 'Free From Barley', 'Free From Oats', 'Free From Soya', 'Free From Sesame', 'Free From Genetically Modified Ingredients', 'Pack Type: Wrap']",Cocacola Original Taste,CocaCola Original Taste 6 x 1.75L PM 2.79,"{'count': 6, 'size': 1.75, 'unit': 'l', 'format': '6x1.75l'}",True,cocacola-original-taste
612484-1,Evian Still Natural Mineral Water 1.5L,5.39,Grocery > Soft Drinks > Still Water,612484.0,1.5Ltr × 8 × 1,https://www.bestwaywholesale.co.uk/img/products/250/2/3068320084602.jpg,https://www.bestwaywholesale.co.uk/product/612484-1,612484,£1.39,Evian,1.5Ltr,612484.0,3068320084602.0,Standard,"Enjoy mountain made minerals from Alpine glacial rocks, evian natural mineral water:",[],,"['Country of Origin France', 'Recycling Info: Recycle Pack', ""100% recycled - Cap and label don't yet contain recycled plastic"", 'This bottle is made from 100% recycled plastic so the colour of the bottle may vary', '100% recyclable', 'Recycled Plastic - This bottle is made from 100% recycled plastic and has been certified as carbon neutral', 'Please recycle this bottle', 'Lid On - Widely Recycled']",Evian Still Natural Mineral Water,Evian Still Natural Mineral Water 1.5L,,False,evian-still-natural-mineral-water
826005-1,Ribena Blackcurrant Juice Drink 500ml PMP 1.35,7.89,Grocery > Soft Drinks > Small Bottles,826005.0,500ml × 12 × 1,https://www.bestwaywholesale.co.uk/img/products/250/2/5054267015432.jpg,https://www.bestwaywholesale.co.uk/product/826005-1,Blackcurrant Juice Drink with sugar and sweeteners,£1.35,Ribena,500ml,826005.0,5054267015432.0,Standard,"Lovely juicy blackcurrant make up our delightfully fruity juice drink. It's rich in vitamin C, has no artificial colours, making it perfect for the whole family.REAL FRUIT JUICES - Lovely juicy blackcurrant make up our delightfully fruity juice drink. It's rich in vitamin C, has no artificial colours or flavours, making it perfect for the whole family.BLACKCURRANT REFRESHMENT - The Ribena flavour that everyone knows and loves in a ready to serve juice drink. Perfect for drinking at home or on the go. Best served chilled.ON THE GO - The perfect pairing for a BBQ or picnic in the park on a hot summer's day! Best served chilled.ECO-CONSCIOUS - All our Ribena Juice Drink bottles are made from 100% recycled plastic* & have been designed for bottle-to-bottle recycling, so that every bottle we sell can start a new life as another bottle!*Cap and label not made from recycled content yet, but are recyclable.BRITISH HERITAGE - Since 1938 we've been working with British farms, the birds and the bees to grow juicy blackcurrants. We harvest our blackcurrants at their freshest, to ensure every glass of Ribena is deliciously fruity.",['Fruit juice from concentrate'],"Water, Blackcurrant Juice from Concentrate (6%), Sugar, Acidity Regulator (Sodium Gluconate), Thickener (Polydextrose), Vitamin C, Extracts of Carrot and Hibiscus, Natural Blackcurrant Flavourings, Acid (Citric Acid), Sweeteners (Acesulfame K, Sucralose).","['Country of Origin United Kingdom', 'Pack Type: Plastic Bottle']",Ribena Blackcurrant Juice Drink,Ribena Blackcurrant Juice Drink 500ml PMP 1.35,,False,ribena-blackcurrant-juice-drink
823257-1,Hell Classic PM 1.00,6.29,Grocery > Soft Drinks > Energy and Health Drinks,823257.0,500ml × 12 × 1,https://www.bestwaywholesale.co.uk/img/products/full/upl/823257.jpg,https://www.bestwaywholesale.co.uk/product/823257-1,823257,£1.00,,500ml,823257.0,5999571054664.0,Standard,,[],,[],Hell Classic,Hell Classic PM 1.00,,False,hell-classic
827755-1,Monster Energy Drink Lando Norris Zero Sugar 12 x 500ml PM 1.65,9.89,Grocery > Soft Drinks > Energy and Health Drinks,827755.0,500ml × 12 × 1,https://www.bestwaywholesale.co.uk/img/products/250/3/5056784906453.jpg,https://www.bestwaywholesale.co.uk/product/827755-1,"Carbonated Energy Drink With Taurine, Ginseng, Caffeine, L?carnitine and B Vitamins with Sweetener.",£1.65,Monster Energy,500ml,827755.0,5056784906446.0,Standard,"Multiple Formula 1 race winner Lando Norris spends his weekends racing 230mph spaceships, and this zero?sugar Monster drink tastes exactly how you'd imagine that feels. You'll be won over with the freshest of flavours, and this can is wrapped in the same iconic helmet design he races on track. It's the taste of the future, packed into one can. Watch your back - the new era is here, and it's tasting good",[],"Carbonated Water, Flavour Enhancer (Erythritol), Acid (Citric Acid), Taurine (0.4%), Acidity Regulator (Sodium Citrates), Flavourings, Panax Ginseng Root Extract (0.08%), Preservatives (Potassium Sorbate, Sodium Benzoate), Caffeine (0.03%), Sweetener (Sucralose), L-Carnitine L-Tartrate (0.02%), Vitamins (B3, B6, B2, B12), Stabiliser (Glycerol Esters of Wood Rosins), Guarana Seed Extract (0.002%), Inositol","['Free From Celery', 'Free From Cereals Containing Gluten', 'Free From Crustaceans', 'Free From Eggs', 'Free From Fish', 'Free From Lupin', 'Free From Milk', 'Free From Molluscs', 'Free From Mustard', 'Free From Nuts', 'Free From Peanuts', 'Free From Sulphur Dioxide/Sulphites', 'Free From Soya', 'Free From Sesame', 'Contains Sweeteners', 'Recycling Info: Recycle Pack', 'Pack Type: Can']",Monster Energy Drink Lando Norris Zero Sugar,Monster Energy Drink Lando Norris Zero Sugar 12 x 500ml PM 1.65,"{'count': 12, 'size': 500.0, 'unit': 'ml', 'format': '12x500ml'}",True,monster-energy-drink-lando-norris-zero-sugar
826027-1,Red Bull Energy Drink 355ml 24 Pack PM 2.10,30.49,Grocery > Soft Drinks > Energy and Health Drinks,826027.0,355ml × 24 × 1,https://www.bestwaywholesale.co.uk/img/products/250/7/9002490280307.jpg,https://www.bestwaywholesale.co.uk/product/826027-1,826027,£2.10,Red Bull,355ml,826027.0,9002490280307.0,Standard,Niacin and vitamin B6 contribute to the reduction of tiredness and fatigue as well as to normal energy-yielding metabolism.,"['With taurine', 'Vitalizes body and mind®', 'Pasteurised']","Water, Sucrose, Glucose, Acid (Citric Acid), Carbon Dioxide, Taurine (0.4%), Acidity Regulators (Sodium Carbonates, Magnesium Carbonates), Caffeine (0.03%), Vitamins (Niacin, Pantothenic Acid, B6, B12), Flavourings, Colours (Plain Caramel, Riboflavins)",['Pack Type: Can'],Red Bull Energy Drink 24,Red Bull Energy Drink 355ml 24 Pack PM 2.10,"{'count': 24, 'size': None, 'unit': None, 'format': '24pk'}",True,red-bull-energy-drink-24
823182-1,Hell Energy Drink Straw and Banana 1 1X12X500ml,6.29,Grocery > Soft Drinks > Energy and Health Drinks,823182.0,500ml × 12 × 1,https://www.bestwaywholesale.co.uk/img/products/full/upl/823182.jpg,https://www.bestwaywholesale.co.uk/product/823182-1,823182,£1.00,,500ml,823182.0,5999571054640.0,Standard,,[],,[],Hell Energy Drink Straw and Banana 1 1x,Hell Energy Drink Straw and Banana 1 1X12X500ml,"{'count': 12, 'size': 500.0, 'unit': 'ml', 'format': '12x500ml'}",True,hell-energy-drink-straw-and-banana-1-1x
811405-1,Schweppes Lemonade 6 x 2L PMP 1.75,5.99,Grocery > Soft Drinks > 2 and 3 Ltr Bottles,811405.0,2Ltr × 6 × 1,https://www.bestwaywholesale.co.uk/img/products/250/5/5017726432225.jpg,https://www.bestwaywholesale.co.uk/product/811405-1,Sparkling Lemon Flavour Soft Drink with Sugar and Sweeteners,£1.75,Schweppes,2Ltr,811405.0,5000112557329.0,Standard,"Try out Schweppes Lemonade, a unique sparkling soft drink inspired by the original Schweppes Aerated Lemonade from 1835. Enjoy the classic, crisp lemon taste and refreshing bubbles while at a party or relaxing at home. Drink it straight or mix it with your favourite spirit to make your own tasty cocktail. Delicious and refreshing, serve ice cold for maximum enjoyment. Please recycle.","['Masterfully made with Lemon Juice', 'Original', 'This product is GMO free', 'This product is gluten free', 'This product is allergen free', 'This product is suitable for vegetarians/vegans']","Carbonated Water, Sugar, Lemon Juice from Concentrate (2%), Acid (Citric Acid), Flavourings, Acidity Regulator (Sodium Citrates), Sweeteners (Aspartame, Sodium Saccharin), Preservative (Potassium Sorbate), Antioxidant (Ascorbic Acid)","['Free From Celery', 'Free From Cereals Containing Gluten', 'Free From Crustaceans', 'Free From Eggs', 'Free From Fish', 'Free From Lupin', 'Free From Milk', 'Free From Molluscs', 'Free From Mustard', 'Free From Nuts', 'Free From Peanuts', 'Free From Sulphur Dioxide/Sulphites', 'Free From Soya', 'Free From Sesame', 'Free From Genetically Modified Ingredients', 'Contains Sweeteners', 'Proudly Bottled in Great Britain', 'Pack Type: Wrap']",Schweppes Lemonade,Schweppes Lemonade 6 x 2L PMP 1.75,"{'count': 6, 'size': 2.0, 'unit': 'l', 'format': '6x2l'}",True,schweppes-lemonade
823179-1,Hell Energy Drink Black Cherry 1 1X12X500ml,6.29,Grocery > Soft Drinks > Energy and Health Drinks,823179.0,500ml × 12 × 1,https://www.bestwaywholesale.co.uk/img/products/full/upl/823179.jpg,https://www.bestwaywholesale.co.uk/product/823179-1,823179,£1.00,,500ml,823179.0,5999571054602.0,Standard,,[],,[],Hell Energy Drink Black Cherry 1 1x,Hell Energy Drink Black Cherry 1 1X12X500ml,"{'count': 12, 'size': 500.0, 'unit': 'ml', 'format': '12x500ml'}",True,hell-energy-drink-black-cherry-1-1x
820581-1,Lucozade Sport Drink Orange 500ml PMP 1.50,10.75,Grocery > Soft Drinks > Energy and Health Drinks,820581.0,500ml × 12 × 1,https://www.bestwaywholesale.co.uk/img/products/250/5/5054267014695.jpg,https://www.bestwaywholesale.co.uk/product/820581-1,Orange Flavour Isotonic Drink with Sugars and Sweeteners,£1.50,Lucozade,500ml,820581.0,5054267014695.0,Standard,Fuels Performance - Lucozade Sport provides ~16g of carbohydrate per 250ml serving and electrolytes to help maintain performance during prolonged endurance exercise.,['Lucozade Sport Orange is an isotonic sports drink which provides carbohydrates and electrolytes to enhance hydration and help maintain performance during prolonged endurance exercise. The perfect performance partner.'],"Water, Glucose Syrup, Acid (Citric Acid), Acidity Regulator (Sodium Citrate), Preservative (Potassium Sorbate), Stabiliser (Acacia Gum), Antioxidant (Ascorbic Acid), Sweeteners (Aspartame, Acesulfame K), Flavouring, Niacin (Vitamin B3), Colour (Beta Carotene)","['Free From Artificial Colours', 'Recycling Info: Plastic - Widely Recycled Bottle', 'Recycle me!', 'Pack Type: Plastic Bottle']",Lucozade Sport Drink Orange,Lucozade Sport Drink Orange 500ml PMP 1.50,,False,lucozade-sport-drink-orange
