name,price,volume_weight,product_type,image_url,url,Ingredients List,,Energy,Fat,- of which saturates,Carbohydrate,- of which sugars,Fibre,Protein,Salt,*RI per serving. Reference intake of an average adult (8400kJ/2000kcal),Servings per can - 2,cleaned_name,original_name,brand,multipack,is_multipack,slug,Safety Warning,of which-saturates,of which-sugars,*Reference intake of an average adult (8400kJ/2000 kcal),**1 portion = half a can of soup as sold (147.5g),This package contains 2 portions,of which saturates,Carbohydrates,of which sugars,Vitamins and Iron,Thiamin (B1),Riboflavin (B2),Niacin,Vitamin B6,Folic Acid,Vitamin D,Vitamin B12,Iron,*RI - Reference Intake of an average adult (8400kJ/2000kcal),Energy (kJ),Energy (kcal),Fat (g),of which saturates (g),Carbohydrate (g),of which sugars (g),Fibre (g),Protein (g),Salt (g),% of Reference Intake of an average adult (8400kJ/2000kcal).,1 portion =  GRM. (Pack contains 30 portions),of which: saturates,of which: sugars,*Reference Intake of an average adult (8400kJ/2000kcal),Contains 8 servings,Portions should be adjusted for children of different ages,"**One sachet + 200ml water, makes 240ml; used as basis for per 100ml",Makes 7 mugs,- of which: saturates,- of which: sugars,Calcium,*Reference Intake of an average adult (8400kJ / 2000kcal),**22g powder + 200ml semi-skimmed milk; used as basis for per 100ml. Makes 15 mugs,Portion should be adjusted for children of different ages,of which Saturates,of which Sugars,This pack contains 4 portions
Heinz Beanz in a Rich Tomato Sauce 6 x 415g4 × 6 x 415g5000157026071,,6 x 415g,multipack,"https://media.wegetanystock.co.uk/brandbank/images/5000157026071/1?tr=w-192,h-192",https://www.wegetanystock.com/products/heinz-beanz-in-a-rich-tomato-sauce-6-x-415g-1,"Beans (51%), Tomatoes (34%), Water, Sugar, Spirit Vinegar, Modified Cornflour, Salt, Spice Extracts, Herb Extract",Per 100g,,1%,<1%,12%,10%,,20%,21%,,,Heinz Beanz in a Rich Tomato Sauce,Heinz Beanz in a Rich Tomato Sauce 6 x 415g4 × 6 x 415g5000157026071,Heinz,"{'count': 6, 'size': 415.0, 'unit': 'g', 'format': '6x415g'}",True,heinz-beanz-in-a-rich-tomato-sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campbells Condensed Cream of Mushroom Soup 6x295g2 × 6x295g63211197532,,6x295g,multipack,"https://media.wegetanystock.co.uk/brandbank/images/0063211197532/1?tr=w-192,h-192",https://www.wegetanystock.com/products/campbells-condensed-cream-of-mushroom-soup-295g,"Water, Mushrooms (10%), Rapeseed Oil, Modified Maize Starch, Wheat Flour (contains Calcium Carbonate, Iron, Thiamin, Niacin), Milk Proteins, Salt, Double Cream ( Milk ), Yeast, Mushroom Powder, Sugar, White Pepper, Flavouring",Per 100 g,7 %,14 %,,3 %,,.,3 %,24 %,,,Campbells Condensed Cream of Mushroom Soup,Campbells Condensed Cream of Mushroom Soup 6x295g2 × 6x295g63211197532,Campbells,"{'count': 6, 'size': 295.0, 'unit': 'g', 'format': '6x295g'}",True,campbells-condensed-cream-of-mushroom-soup,CAUTION: METAL EDGES ARE SHARP.,4 %,1 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oreo O's Cereal PM£3.99 320g5 × 320g5010029227451,£3.99,320g,price_marked,"https://media.wegetanystock.co.uk/brandbank/images/5010029227451/1?tr=w-192,h-192",https://www.wegetanystock.com/products/oreo-os-cereal-5-x-320g-pmp-ps399,"Cereal Flours (66%) ( Wheat , Rice), Sugar, Fat Reduced Cocoa Powder, Oreo Crumb (2.8%) ( Wheat Flour, Sugar, Rapeseed Oil, Fat Reduced Cocoa Powder, Glucose Fructose Syrup, Wheat Starch, Raising Agents (Potassium Carbonate, Ammonium Carbonate, Sodium Carbonate), Palm Oil, Salt, Emulsifier: Soya Lecithin, Flavouring), Wheat Starch, Flavourings, Salt, Niacin, Iron, Riboflavin (B2), Vitamin B6, Thiamin (B1), Folic Acid, Vitamin D, Vitamin B12",Per 100g,1620kJ/,2.1g,,,,3.9g,7.9g,0.56g,,,Oreo O's Cereal,Oreo O's Cereal PM£3.99 320g5 × 320g5010029227451,Oreo O's,"{'count': 5, 'size': 320.0, 'unit': 'g', 'format': '5x320g'}",True,oreo-os-cereal,,,,,,,0.8g,81g,27g,,0.62mg,0.78mg,9.0mg,0.78mg,112μg,2.8μg,1.4μg,7.8mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colman's English Mustard 150g6 × 150g96107775,,150g,regular,"https://media.wegetanystock.co.uk/brandbank/images/96107775/1?tr=w-192,h-192",https://www.wegetanystock.com/products/colmans-english-mustard-150g,"Water, MUSTARD flour (21%), sugar, salt, WHEAT flour, turmeric, acid (citric acid), stabiliser (xanthan gum)",Per 100g Unprepared,,,,,,,,,,,Colman's English Mustard,Colman's English Mustard 150g6 × 150g96107775,,"{'count': 6, 'size': 150.0, 'unit': 'g', 'format': '6x150g'}",True,colmans-english-mustard,"2D code,EVU, suitable for vegan,OPRL,Unilever U device",,,,,,,,,,,,,,,,,,,1%,1%,1%,1%,1%,1%,0%,1%,7%,,,,,,,,,,,,,,,,,,
Carnation Evaporated Milk 410g Tin12 × 410g5010346000010,,410g,regular,"https://media.wegetanystock.co.uk/brandbank/images/5010346000010/1?tr=w-192,h-192",https://www.wegetanystock.com/products/carnation-evaporated-milk-410g-tin,"Whole Milk , Stabiliser (Sodium Phosphates), Vitamin D, Minimum 9% Milk Fat, 22% Milk Solids Not Fat",Per 100g,,6%,,2%,,-,8%,3%,,,Carnation Evaporated Milk,Carnation Evaporated Milk 410g Tin12 × 410g5010346000010,Carnation,"{'count': 12, 'size': 410.0, 'unit': 'g', 'format': '12x410g'}",True,carnation-evaporated-milk,"IMPORTANT NOTICE
Not for infants under 12 months.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,7%,,,,,,,,,,,,,,
Nescafe Cappuccino Unsweetened Taste Instant Coffee Sachets 7 x 14.2g6 × 7 x 14.2g8445291746060,,7 x 14.2g,multipack,"https://media.wegetanystock.co.uk/old_images/jpg/8445291746060?tr=w-192,h-192",https://www.wegetanystock.com/products/nescafe-cappuccino-unsweetened-taste-instant-coffee-sachets-7-x-142g,,Per 100ml**,,3%,,3%,,-,4%,4%,,,Nescafe Cappuccino Unsweetened Taste Instant Coffee Sachets,Nescafe Cappuccino Unsweetened Taste Instant Coffee Sachets 7 x 14.2g6 × 7 x 14.2g8445291746060,Cappuccino,"{'count': 7, 'size': 14.2, 'unit': 'g', 'format': '7x14.2g'}",True,nescafe-cappuccino-unsweetened-taste-instant-coffee-sachets,"IMPORTANT
Dissolve powder completely before placing a lid on any container such as a thermos or travel mug.  
To avoid the risk of burning, do not shake the container in order to dissolve the powder.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,4%,,,,,,,,,,,,,,
Starbucks Signature Hot Chocolate Powder Tin 42% Cocoa 330g6 × 330g7613287598998,,330g,regular,"https://media.wegetanystock.co.uk/old_images/jpg/7613287598998?tr=w-192,h-192",https://www.wegetanystock.com/products/starbucks-signature-chocolate-42-330g,"Chocolate Powder 88% (Sugar, Cocoa Powder^1 32%), Fat Reduced Cocoa Powder^1 10%, Emulsifier: Soya Lecithin, Natural Flavouring, ^1Rainforest Alliance Certified",Per 100ml,,,,,,,,,,,Starbucks Signature Hot Chocolate Powder 42% Cocoa,Starbucks Signature Hot Chocolate Powder Tin 42% Cocoa 330g6 × 330g7613287598998,Starbucks,"{'count': 6, 'size': 330.0, 'unit': 'g', 'format': '6x330g'}",True,starbucks-signature-hot-chocolate-powder-42-cocoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batchelors Cup a Soup Cream of Mushroom with Croutons 4 Sachets 99g9 × 99g5000175409030,,99g,regular,"https://media.wegetanystock.co.uk/brandbank/images/5000175409030/1?tr=w-192,h-192",https://www.wegetanystock.com/products/batchelors-cup-a-soup-cream-of-mushroom-with-croutons-4-sachets-99g,"Water, Glucose Syrup, Shiitake Mushroom (2.5%), Maize Starch, Potato Starch, Croutons (1.5%) ( Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), Palm Oil, Salt, Yeast, Antioxidant (Rosemary Extracts)), Vegetable Oils (Palm, Sunflower), Mushroom Extract, Onion, Cream ( Milk ), Whey ( Milk ), Salt, Palm Fat, Sugar, Potassium Chloride, Flavourings (contain Barley , Wheat ), Yeast Extract (contains Barley ), Parsley, Milk Proteins, Garlic, Roasted Barley Malt Extract, Emulsifier (Mono- and Diglycerides of Fatty Acids), Black Pepper Extract",Per 100g As Prepared,180kJ/43kcal,1.8g,,6.1g,,<0.5g,0.5g,0.47g,,,Batchelors Cup a Soup Cream of Mushroom with Croutons 4 Sachets,Batchelors Cup a Soup Cream of Mushroom with Croutons 4 Sachets 99g9 × 99g5000175409030,Batchelors,"{'count': 9, 'size': 99.0, 'unit': 'g', 'format': '9x99g'}",True,batchelors-cup-a-soup-cream-of-mushroom-with-croutons-4-sachets,DO NOT USE IF INNER SACHETS ARE OPEN OR TORN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1g,0.7g,
Hellmann's Spicy Ranch Mayo 245g8 × 245g8721201972294,,245g,regular,"https://media.wegetanystock.co.uk/images/products/yQihnxTMYH4etA91yL9fSoXiNLYQ0Eu49CcbOLLu.png?tr=w-192,h-192",https://www.wegetanystock.com/products/hellmanns-spicy-ranch-mayo-245g,,,,,,,,,,,,,Hellmann's Spicy Ranch Mayo,Hellmann's Spicy Ranch Mayo 245g8 × 245g8721201972294,Hellmann's,"{'count': 8, 'size': 245.0, 'unit': 'g', 'format': '8x245g'}",True,hellmanns-spicy-ranch-mayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batchelors Cup a Soup Cream of Asparagus with Croutons 4 Sachets 117g9 × 117g5000175409061,,117g,regular,"https://media.wegetanystock.co.uk/brandbank/images/5000175409061/1?tr=w-192,h-192",https://www.wegetanystock.com/products/batchelors-cup-a-soup-cream-of-asparagus-with-croutons-4-sachets-117g,"Water, Asparagus (5%), Glucose Syrup, Maize Starch, Potato Starch, Croutons (1.5%) ( Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), Palm Oil, Salt, Yeast, Antioxidant (Rosemary Extracts)), Vegetable Oils (Palm, Sunflower), Lactose ( Milk ), Salt, Palm Fat, Onion, Flavourings, Sugar, Milk Proteins, Yeast Extract (contains Barley ), Emulsifier (Mono- and Diglycerides of Fatty Acids), Ground Turmeric",Per 100g as Prepared,212kJ/50kcal,2.0g,,7.6g,,<0.5g,<0.5g,0.48g,,,Batchelors Cup a Soup Cream of Asparagus with Croutons 4 Sachets,Batchelors Cup a Soup Cream of Asparagus with Croutons 4 Sachets 117g9 × 117g5000175409061,Batchelors,"{'count': 9, 'size': 117.0, 'unit': 'g', 'format': '9x117g'}",True,batchelors-cup-a-soup-cream-of-asparagus-with-croutons-4-sachets,DO NOT USE IF INNER SACHETS ARE OPEN OR TORN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2g,1.4g,
