product_id,name,cleaned_name,price,brand,category,subcategory,volume_weight,is_multipack,product_type,url,image_url,slug,allergens,certifications,ingredients,country_of_origin,storage_advice,allergy_warning,description
N/A,SRI DURGA TAMARIND BLOCK 1KG,Sri Durga Tamarind Block,,SRI DURGA,GENERAL GROCERIES,TAMARIND,1kg,False,single,https://www.lakshmiwholesale.com/products/sri-durga-tamarind-block-1kg,//www.lakshmiwholesale.com/cdn/shop/files/tamarind-block.jpg?v=1749643149,sri-durga-tamarind-block,"soy, milk, nuts, peanuts",,in any Indian kitchen,,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","SRI DURGA TAMARIND BLOCK 1KG
Discover the authentic tangy taste of **SRI DURGA TAMARIND BLOCK 1KG**, available in bulk at **Lakshmi Wholesale**. A staple in Indian cooking, tamarind adds a distinctive sour flavor to various dishes, from tangy curries to refreshing chutneys. The **SRI DURGA TAMARIND BLOCK** is made from high-quality tamarind, known for its rich taste and freshness, making it a must-have ingredient in any Indian kitchen.
For businesses and caterers looking to buy Indian groceries "
N/A,LG ASAFOETIDA (HING) POWDER 100G,Lg Asafoetida (hing) Powder,,Lg,GENERAL GROCERIES,ASAFOETIDA,100g,False,single,https://www.lakshmiwholesale.com/products/lg-asafoetida-hing-powder-100g-online-lakshmi-wholesale-uk,//www.lakshmiwholesale.com/cdn/shop/products/lg-hing-500x500-1-300x300_a6a8c406-a5df-4675-be23-64fa499e6c62.jpg?v=1749643514,lg-asafoetida-hing-powder,"soy, milk, nuts, peanuts",vegetarian,in vegetarian recipes,,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","LG ASAFOETIDA (HING) POWDER 100G
**LG Asafoetida (Hing) Powder 100g** is a must-have spice in Indian kitchens, known for its unique flavor and medicinal benefits. At **Lakshmi Wholesale UK**, we provide a convenient way to shop for **
Indian wholesale groceries online
**. Whether you're a home cook or run a business, you can now easily **shop LG Asafoetida (Hing) Powder 100g in bulk** through our platform.
Asafoetida, commonly called Hing, is essential in many Indian dishes, including dals, curr"
N/A,LG ASAFOETIDA (HING) POWDER 50G,Lg Asafoetida (hing) Powder,,Lg,GENERAL GROCERIES,ASAFOETIDA,50g,False,single,https://www.lakshmiwholesale.com/products/lg-asafoetida-hing-powder-50g-online-lakshmi-wholesale-uk,//www.lakshmiwholesale.com/cdn/shop/products/lg-hing-500x500-1-300x300.jpg?v=1749643513,lg-asafoetida-hing-powder,"soy, milk, nuts, peanuts",,"in Indian kitchens, known for its potent flavor and aroma that enhances the taste of curries, dals, and pickles",,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","LG ASAFOETIDA (HING) POWDER 50G
**Shop LG Asafoetida (Hing) Powder 50g Online in the UK | Lakshmi Wholesale**
Looking to buy authentic Indian spices online in the UK? Shop **LG Asafoetida (Hing) Powder 50g** from Lakshmi Wholesale UK. Asafoetida, also known as Hing, is a must-have ingredient in Indian kitchens, known for its potent flavor and aroma that enhances the taste of curries, dals, and pickles.
**Lakshmi Wholesale** offers LG Asafoetida (Hing) Powder in **bulk quantities**, perfect for I"
N/A,777 ASAFOETIDA POWDER (HING) - 100G,777 Asafoetida Powder (hing) -,,777,GENERAL GROCERIES,ASAFOETIDA,100g,False,single,https://www.lakshmiwholesale.com/products/777-asafoetida-powder-hing-100g,//www.lakshmiwholesale.com/cdn/shop/files/777-HING.jpg?v=1749643005,777-asafoetida-powder-hing,,vegetarian,"in many Indian dishes, especially in vegetarian cooking",,,,"777 ASAFOETIDA POWDER (HING) - 100G
Introducing
777 Asafoetida Powder (Hing)
in a convenient 100g pack, a must-have spice for enhancing the flavors of your culinary creations. Known for its unique aroma and distinctive taste, asafoetida is a key ingredient in many Indian dishes, especially in vegetarian cooking. It acts as a flavor enhancer, imparting a savory depth to curries, lentil dishes, and soups, while also aiding in digestion.
At
Lakshmi Wholesale UK
, we cater to the
Bulk Groceries Need"
N/A,NATURES PUFFED RICE 100G,Natures Puffed Rice,,NATURES,GENERAL GROCERIES,RICE FLAKES & PUFFED RICE,100g,False,single,https://www.lakshmiwholesale.com/products/natures-puffed-rice-100g,//www.lakshmiwholesale.com/cdn/shop/files/NATURESPUFFEDRICE100G.png?v=1749643013,natures-puffed-rice,nuts,,"to enhance your dishes, Nature's Puffed Rice is your ideal choice",,,,"NATURES PUFFED RICE 100G
Introducing
Nature's Puffed Rice 100g
, a delightful snack that embodies the perfect blend of taste and health. Made from high-quality rice, this puffed rice is a light and crispy treat that can be enjoyed in various ways. Whether you're looking for a quick snack on the go or an ingredient to enhance your dishes, Nature's Puffed Rice is your ideal choice.
Rich in carbohydrates and low in calories, this puffed rice is perfect for health-conscious individuals. Use it as a "
N/A,NATURES PUFFED RICE 250G,Natures Puffed Rice,,NATURES,GENERAL GROCERIES,RICE FLAKES & PUFFED RICE,250g,False,single,https://www.lakshmiwholesale.com/products/natures-puffed-rice-250g,//www.lakshmiwholesale.com/cdn/shop/products/NATURESPUFFEDRICE250G.png?v=1749643435,natures-puffed-rice,,,,,,,"NATURES PUFFED RICE 250G
**Nature's Puffed Rice250** is a delightful and versatile snack that captures the essence of traditional Indian cuisine. Made from high-quality rice, this light and crispy treat is perfect for a quick snack or as a crunchy addition to various dishes. Puffed rice is not only delicious but also low in calories, making it an ideal choice for health-conscious individuals.
In Indian households, puffed rice is often used to prepare popular snacks like bhel puri, murmura chivda"
N/A,SRI DURGA RICE FLAKES MEDIUM 500G - RED,Sri Durga Rice Flakes Medium - Red,,SRI DURGA,GENERAL GROCERIES,RICE FLAKES & PUFFED RICE,500g,False,single,https://www.lakshmiwholesale.com/products/sri-durga-rice-flakes-medium-500g-red,//www.lakshmiwholesale.com/cdn/shop/files/sri-durga-rice-flakes-red-1kg-1-265x265_1959d9b1-b42b-4079-96ab-d135485f3358.png?v=1749642853,sri-durga-rice-flakes-medium-red,milk,,,,,,"SRI DURGA RICE FLAKES MEDIUM 500G - RED
Introduce the goodness of
Sri Durga Rice Flakes Medium 500g - Red
into your kitchen, now available at Lakshmi Wholesale UK, your trusted
online bulk grocery retailer.
These medium-sized rice flakes are made from high-quality red rice, known for its rich nutritional profile and unique flavor. A staple in many Indian households, rice flakes are versatile and can be used in a variety of dishes, making them a convenient option for quick meals.
Rich in fiber an"
N/A,NATURES PUFFED RICE 500G,Natures Puffed Rice,,NATURES,GENERAL GROCERIES,RICE FLAKES & PUFFED RICE,500g,False,single,https://www.lakshmiwholesale.com/products/natures-puffed-rice-500g,//www.lakshmiwholesale.com/cdn/shop/products/NATURESPUFFEDRICE500G.png?v=1749643435,natures-puffed-rice,,,,,,,"NATURES PUFFED RICE 500G
**Nature's Puffed Rice 500G** is a delightful and versatile snack that captures the essence of traditional Indian cuisine. Made from high-quality rice, this light and crispy treat is perfect for a quick snack or as a crunchy addition to various dishes. Puffed rice is not only delicious but also low in calories, making it an ideal choice for health-conscious individuals.
In Indian households, puffed rice is often used to prepare popular snacks like bhel puri, murmura chiv"
N/A,NATURES RED RAW RICE 1KG,Natures Red Raw Rice,,NATURES,GENERAL GROCERIES,RICE FLAKES & PUFFED RICE,1kg,False,single,https://www.lakshmiwholesale.com/products/natures-red-raw-rice-100g,//www.lakshmiwholesale.com/cdn/shop/files/Untitleddesign-2023-09-05T002315.525.png?v=1749643276,natures-red-raw-rice,"soy, milk, nuts, peanuts",,"traces of nuts, milk, soy, and peanuts",,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","NATURES RED RAW RICE 1KG
Natures Red Raw Rice 1kg is a premium quality rice variety, perfect for creating authentic Indian dishes like dosa, idli, and traditional rice-based meals. Known for its rich flavor and nutritional benefits, red raw rice is unpolished and retains its natural nutrients, including fiber, iron, and antioxidants. This makes it a healthier alternative to white rice, offering a wholesome choice for your daily meals.
Whether you’re a restaurant owner, caterer, or a grocery reta"
N/A,NATURES SOYA CHUNKS MINI 250G,Natures Soya Chunks Mini,,NATURES,GENERAL GROCERIES,SOYA CHUNKS,250g,False,single,https://www.lakshmiwholesale.com/products/natures-soya-chunks-mini-250gms,//www.lakshmiwholesale.com/cdn/shop/products/Untitled-design-14.png?v=1749643445,natures-soya-chunks-mini,"soya, nuts, soy, milk, peanuts",,"traces of nuts, milk, soy, and peanuts",,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","NATURES  SOYA CHUNKS MINI 250G
Discover the nutritious goodness of NATURES Soya Chunks Mini, available at Lakshmi Wholesale, your go-to destination for Indian wholesale groceries online in the UK. These mini soya chunks are a versatile and protein-rich meat substitute, making them an ideal addition to a variety of dishes.
Rich in essential amino acids, NATURES Soya Chunks are perfect for vegetarians and vegans seeking a healthy source of protein. With their delightful texture, they effortlessly "
N/A,NATURES DRY COCONUT WHOLE (COPRA) 1 PCS,Natures Dry Coconut Whole (copra) 1 Pcs,,NATURES,GENERAL GROCERIES,DRY COCONUT,,False,single,https://www.lakshmiwholesale.com/products/dry-coconut-whole-copra-1-pcs,//www.lakshmiwholesale.com/cdn/shop/files/DRYCOCONUTWHOLE_COPRA_1PCS.png?v=1749642612,natures-dry-coconut-whole-copra-1-pcs,"soy, milk, nuts, peanuts",,widely used in Indian cuisine for its distinct flavor and numerous health benefits,,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","NATURES DRY COCONUT WHOLE (COPRA) 1 PCS
Introducing
NATURES
DRY COCONUT WHOLE (COPRA) 1 PCS
, a premium quality product that brings the rich taste and aroma of coconut to your kitchen. Copra, which is dried coconut meat, is a versatile ingredient widely used in Indian cuisine for its distinct flavor and numerous health benefits. It is perfect for adding texture and taste to curries, sweets, and snacks, making it an essential item in both traditional and contemporary dishes.
This dry coconut is c"
N/A,NATURES DRY COCONUT WHOLE 2PCS,Natures Dry Coconut Whole 2pcs,,NATURES,GENERAL GROCERIES,DRY COCONUT,,False,single,https://www.lakshmiwholesale.com/products/natures-whole-dry-coconut-2pcs,//www.lakshmiwholesale.com/cdn/shop/files/Untitleddesign_24.png?v=1749642684,natures-dry-coconut-whole-2pcs,"soy, milk, nuts, peanuts",,in many Indian kitchens,,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","NATURES DRY COCONUT WHOLE 2PCS
NATURES WHOLE DRY COCONUT 2PCS is a high-quality, versatile product ideal for adding a rich, authentic flavor to a variety of Indian and global dishes. This pack contains two whole dried coconuts, perfect for grating, grinding, or incorporating into both sweet and savory recipes. Whether you're preparing traditional Indian sweets like coconut ladoos, making coconut milk, or adding coconut to curries, this product offers all the freshness and flavor you need to enha"
N/A,NATURES SPILT DRY COCONUT 4PCS,Natures Spilt Dry Coconut 4pcs,,NATURES,GENERAL GROCERIES,DRY COCONUT,,False,single,https://www.lakshmiwholesale.com/products/natures-spilt-dry-coconut-4pcs,//www.lakshmiwholesale.com/cdn/shop/files/Untitleddesign_23.png?v=1749642683,natures-spilt-dry-coconut-4pcs,"soy, milk, nuts, peanuts",,"in many Indian dishes, adding richness and depth to both savory and sweet recipes",,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","NATURES SPILT DRY COCONUT 4PCS
NATURES SPILT DRY COCONUT 4PCS is a high-quality, convenient coconut product perfect for your culinary needs. Each pack contains four pieces of split, dried coconut, which retains all the natural flavor and texture of fresh coconut. Dry coconut, or copra, is a key ingredient in many Indian dishes, adding richness and depth to both savory and sweet recipes. Whether you are preparing curries, chutneys, sweets like coconut ladoos or barfis, or even coconut milk, this "
